region,altitud_msnm,marca,tipo_vehiculo,año_fabricacion,antiguedad_años,kilometraje,ultimo_mantenimiento_dias,calidad_combustible,octanaje_estimado,contaminacion_agua_ppm,temperatura_motor_c,nivel_aceite,presion_neumaticos_psi,bateria_voltaje,estado_frenos,filtro_aire,tipo_via,condicion_via,temperatura_ambiente_c,falla_vehiculo
Santa Cruz,331.0,Hyundai,Camioneta 4x4,2021.0,4.0,,4.0,Degradada,82.1,61.3,69.7,Óptimo,33.4,11.84,Regular,Limpio,Carretera Pavimentada,Mala,23.7,0
Potosí,3695.0,Chevrolet,Sedán,2009.0,16.0,195072.0,22.0,Normal,88.5,0.0,102.3,Bajo,28.9,12.8,regular,Sucio,Ruta Interdepartamental,buena,9.5,1
La Paz,3497.0,Toyota,pick-up,1989.0,36.0,537586.0,22.0,Normal,86.3,5.6,110.8,Óptimo,22.0,11.09,Bueno,Limpio,Carretera Pavimentada,Mala,20.6,1
Oruro,3235.0,Suzuki,Camioneta 4x4,2009.0,16.0,181232.0,284.0,Normal,88.2,8.7,94.3,Muy Bajo,32.0,12.67,Regular,Obstruido,Urbana,mala,3.8,1
Cochabamba,2537.0,Nissan,Camioneta 4x4,2008.0,17.0,220999.0,301.0,Normal,80.6,,102.3,Muy Bajo,30.7,,Regular,Limpio,Carretera Pavimentada,Buena,15.4,1
Santa Cruz,245.0,Nissan,SUV,1991.0,34.0,352272.0,213.0,Normal,88.2,4.3,84.6,Muy Bajo,28.6,10.77,Bueno,scuio,Urbana,Muy Mala,12.5,1
Santa Cruz,425.0,Ford,Camioneta 4x4,1994.0,31.0,,24.0,Normal,92.0,1.9,95.6,Optimo,34.6,12.28,Desgastado,Limpio,Urbana,Muy Mala,26.8,0
La Paz,3396.0,Kia,CAMION,2006.0,19.0,205501.0,238.0,CONTAMINADA,,102.9,122.1,Óptimo,36.5,11.07,Regular,Obstruido,Carretera Pavimentada,Mala,8.4,1
Cochabamba,2570.0,Mitsubishi,SUV,1991.0,34.0,353764.0,27.0,Contaminada,75.3,185.8,94.1,,-20.12024331161204,,Regualr,OBSTRUIDO,Urbana,Mala,9.2,0
Cochabamba,2496.0,Nissan,SUV,1990.0,35.0,381421.0,105.0,NORMAL,89.3,3.4,999.9,Óptimo,40.1,10.77,Bueno,Sucio,Ruta Interdepartamental,Mala,10.8,1
Oruro,3931.0,Mazda,SUV,2006.0,19.0,175120.0,172.0,,90.6,6.4,109.9,,30.3,,,limpio,Carretera Pavimentada,Regular,16.7,1
La Paz,3852.0,Mitsubishi,Sedán,,11.0,3857634.508247659,6.0,Contaminada,0.0,95.0,96.5,Muy Bajo,41.6,11.67,Bueno,,Camino de Tierra,Muy Mala,12.5,1
Potosí,4085.0,Ford,Sedán,1987.0,38.0,456048.0,118.0,Normal,90.0,4.1,94.5,Óptimo,28.8,11.73,Crítico,Limpio,Carretera Pavimentada,mala,21.1,1
Trinidad,188.0,Mazda,Camioneta 4x4,1997.0,28.0,,37.0,Degradada,81.8,20.6,,Óptimo,31.3,12.55,Bueno,scuio,Urbana,Regular,10.9,1
Potosí,4265.0,Mitsubishi,Sedán,2002.0,23.0,230974.0,89.0,Normal,87.2,4.9,105.3,Óptimo,39.6,11.16,Crítico,Limpio,Ruta Interdepartamental,Buena,6.2,1
Cochabamba,2325.0,Chevrolet,Minibús,2005.0,20.0,312757.0,62.0,,,39.6,97.2,Óptimo,26.5,11.45,Regular,Limpio,Camino de Tierra,,15.6,0
Santa Cruz,205.0,Mitsubishi,Camioneta 4x4,2023.0,2.0,32655.0,150.0,Normal,84.9,9.0,103.9,Bajo,33.8,11.6,Bueno,Sucio,Ruta Interdepartamental,Buena,15.7,1
Cochabamba,2545.0,Suzuki,Minibús,2005.0,20.0,243042.0,87.0,,77.4,32.3,102.3,Óptimo,36.9,11.32,Desgastado,Sucio,Camino de Tierra,Muy Mala,10.4,1
Cobija,628.0,Nissan,Camioneta 4x4,2003.0,22.0,249813.0,46.0,Contaminada,60.2,,,optimo,29.2,12.88,Regular,Limpio,Ruta Interdepartamental,Muy mala,19.6,1
Trinidad,207.0,SUZUKI,,,3.0,30254.0,313.0,,84.2,7.7,88.9,Muy Bajo,30.0,12.49,Bueno,Sucio,Camino de Tierra,Mala,18.7,1
